,review_comment
2563,"Chicago to London with American Airlines. Comfortable flight on a refurbished Boeing 767. No in-seat video is provided but there are control boxes on the floor. Food and wine were fine. Crew were good and interacted with passengers during the flight. Overall, good basic service that gets you from A to B."
2564,"Las Vegas to Dallas. Mechanical problems are a given in the airline business however it's up to the airline to make up the difference. We missed our connecting flight and then waited for 1.5 hours for the hotel to send a shuttle. The airline had two hours to figure out who would be missing what flight and to coordinate effectively with the hotel for a seamless transition. Instead we waited in the cold and ended up at a hotel that was 20 mins away from the hotel, one that only had a shuttle once an hour and we almost missed the kitchen due to their laziness and poor planning. If it's ever in my power American Airlines will never get a dime from me again."
2565,"Montevideo to London via Boston. Check-in MVD with no troubles, informed bag need to be collected with clearing custom in MIA. Boarding the flight 2A comes to my attention there is customer occupying the seat however due to aircraft change seat 2A was free. Due to that change other customer was yelling at me to change seat.  Later during flight when crew gave custom form I wasn't too advanced in Spanish so decided to go to front galley and ask cabin crew to provide me with English custom card - that was mistake as five crew members laugh at me saying ""you don't speak Spanish"". Diverted from MIA to TPA due to weather (sure this happened, I managed to have a little snooze being on the ground 4h-5h with not much information). Tried to change my flight over the phone to attend my meeting in BOS however no chance to arrange it. After long morning and early afternoon having already few changes on my ticket I was sent to MIA by the same flight and arrived over 10hrs late. Crew on TPA-MIA flight was very good and that was only great team I witnessed during five flights on my trip. No one was able to assist me with changes for next day and I was offered another change and fly MIA to LHR. Being so exhausted with so little informations and if there were any confusing so badly I accept the change. When I boarded B777 some customers were approaching cabin crew asking about aircraft change and no flat beds available - crew denied any changes. When I contacted customer service to find some explanations and gave feedback from my experience I couldn't be any more disappointed from response. "
2566,"Charlotte to Los Angeles with American Airlines. I have flown on a lot of airlines, today's was the worst. Dismal customer service, rude counter workers and flight attendants, service boasted of wifi, television screens with 250 movies on the seat as well as USB chargers for the seats, none of which were available on a 5.5 hour flight. Boarding process was painful. Plane was dirty and some seats were worn out and had tears in them. Will not be flying with American Airlines again. Plane tickets are way too expensive for such substandard value."
2567,"London to New York JFK, returning from Miami, and great flights with in Business Class on Boeing 777-300. The space, comfort, and privacy on this aircraft is second to none. The cabin crew were courteous and helpful (most of my flights with AA have been in coach where the rudeness of the staff used to be legendary). On both flights, the FA greeted by name, confirmed my meal order with me (requested on line) and took my coat. Outbound lunch was good, as were the wines. Drinks constantly replenished. A selection of snacks was laid out in the bar between meals, although I didn’t try them. The pre-landing snack was croque monsieur, which was ok but really no better than the pizza that you used to get in coach many years ago. Before landing, the purser walked through the cabin thanking each passenger for flying AA. A nice touch. Bose noise cancelling headphones are superb, although they collect them almost an hour before landing. On the return from MIA, the food and service were again very good. The steak on flights starting the in the US is always better than on those starting in the UK, and it was served on a very hot plate. The salad was excellent. FA asked if I wanted to be woken for breakfast. Although I didn’t I was awake when breakfast came round and it was surprisingly good. I’d previously flown Business Class on the US Airways A330. The 777-300 seat is similar but improved. There is no gap between the seat and the wall, where things can be lost on the A330. There is a vanity mirror in the storage cupboard. The TV screens are larger (15”). The seats have more adjustable positions. However, there is no storage under the footrest. A nice lightweight duvet and large fluffy pillow added to the comfort. The seats are a bit hard when sitting fully upright or fully flat for any length of time, but are very comfortable when reclined. Sleeping on the way back, the plane was very warm and I slept on top of the duvet which was very comfortable indeed. The washrooms on this plane are very nice, particularly the one on the starboard size which is double sized. The equipment makes this Boeing 777-300 the best business class across the Atlantic, and the service was up to par. The downside of this plane is that all the seats are very private, and if you are travelling with a companion then even in the middle pair you can’t really see or talk to each other. If you want to socialise with a travelling companion, you may not like this plane.  IFE was fair, not a lot of new films but enough newish and classics to keep me happy. I've marked down ground service because of a problem at LHR. I am gay and was travelling with my partner. The check in operative at tried to make us check in separately. When I asked if married couples had to check in separately she said no. I explained that my travelling companion was my Civil Partner, and that we had the same legal rights as a married couple. She was embarrassed and apologetic, but making assumptions about peoples sexuality is inappropriate. Business class check in and fast track security at LHR are excellent."
2568,"New York JFK to Miami was on a refurbished American Airlines Boeing 767 with international business class flat bed seating. The seating is not as good as on the 777-300, but it’s a big improvement on the angled seating on the 777-200, and for a short domestic flight it is exceptional. The 1-2-1 configuration means every seat is accessible from an aisle, and the centre pairs are good for couples travelling together. All seats are forward facing. Service was friendly and rather informal. The food was good – the steak was better than on the flight over from London. IFE is only provided when these planes are flying internationally, and is provided by Samsung tablets in business class. Having flown into JFK in International Business Class, we had access to the Admiral's Club Lounge. These lounges are poor compared to British Airways. We got vouchers for two premium drinks each, but you have to wait to be served by a lone overstaffed barman, and the choice of food is poor."
2569,"I hope it was the last time with American Airlines! I had to fly both ways to Philadelphia and back to Germany with American although on my flight list it said I would fly with Iberia and British Airways. Maybe I had really bad luck but on both flights there were mayor problems concerning delay. Before the first flight we were told, the aircraft is going to stop halfway to refuel so we would have a delay of several hours (they couldn't really tell us how much exactly). Having advised my transport ability from the airport to my final destination that I wouldn't arrive at time, we were told after a good half of the flight that we are going to fly directly to Philadelphia (as initially planned) because we had less wind than expected. The second flight was worse. The plane we were going to take arrived at Philly 20 min later than planned, so everything already was a bit delayed. After sitting in this machine over 1h without departing, we had to change plane(!) which lasted another hour, so we arrived at Amsterdam with over 2 hours of delay. While changing planes in Philadelphia I heard from several passengers that this is typical for AA, that they had come to Philly with a delayed AA flight and that they would never be able to get their train (just as me!) or connecting flight (except an American Airlines flight because that one you get because of its delay again - so if you fly AA, only fly AA). If there weren't all the other critical aspects in comparison to the flights' price. On other transatlantic flights of the same duration and price with Lufthansa or KLM, a personal screen with plenty of movies to chose is standard. Just as 2 ordinary meals plus snacks and comfortable seats with room for legs. On each of these 2 American Airlines flights, I had a disgusting meal and a tiny snack, there were small screens over every 5th row you can't see well from the mayority of seats (I had the luck of having one of these) and the seat couldn't be adjusted more than 2 inches backwards, so falling asleep wasn't possible for me, also because of permanent knee-seat-contact and the absolute impossibility of stretching my legs. It was horrible - in comparison with normal airlines such as Lufthansa or KLM."
2570,"Fort Myers to Portland on American Airlines. I booked tickets for my 3 year old, my husband, myself and our 1yr and a half old. When I was checking in for our flight back home it showed our seats completely scattered on the plane and when I purchased our tickets they were together. Now they tell me that they have no seats together at this time and to check with the airport. I told them to change my flight or change someone's seats cause I will not be sitting away from my child! So not impressed. Never again!"
2571,"My husband and I paid $311 extra for our seats to and from Honolulu for our dream vacation with American Airlines. These fees were so that we could sit together for the flights and for extra leg room. We never got the extra leg room on any of the 4 flights and had to argue with the counter people to even get to sit together. For example, when checking in with AA mobile app (which doesn't work well) for our flight from Honolulu to Phoenix, the app showed our assigned seats as being available for an extra fee (which we had already paid). We were then assigned standard seats (no leg room) and 6 rows apart. Finally, we got a counter agent to at least sit us together for the flight but we were told that this was a ""different plane so seats were different"". If this was even true, isn't it good business to take care of those that paid extra for better seats and then assign remaining standard fare seats? It appears that American charges at least double for this bait and switch. Who knows how many ""extra"" fees they charged for special seating and then assigned standard seats? We know for a fact that they did so on the HNL to PHX flight, as we spoke to the people occupying our originally assigned seats. The flight to Honolulu was so bad that my arm was cramped against the cabin wall resulting in numbness for most of the flight. As a result of not having room to stretch my legs for me, as a diabetic, resulted in my ankles swelling terribly on both 6 hour flights. American should be ashamed of their rude and unapologetic staff and charging fees for services that they do not deliver."
2572,"Flew American Airlines on a 757 from JFK to Miami and returned to La Guardia on a 737, in business class. The service was quite impressive, cabin/toilets clean, seat comfortable, and food was ample with a menu choice -  wine and other drinks served. Flight attendants were informal but got the work done. The entertainment system was old fashioned, with drop down screens from the ceiling, not personalized at the seat level.  Overall, a quality product worth patronizing again!"
2573,"Packed American Airlines flight from Chicago O'Hare to Los Angeles on 1st February in coach. They changed aircraft so row 7 wasn't there anymore so 6 people had to find new seats. Gate agents handled some irate passengers well. Boarding was smooth - departed on time. Flight attendants were very nice and present throughout the flight. They did 2 drink and snack runs and came through with water two times. In-seat videos provided plenty of entertainment choices for the 4 hour flight. Gogo wifi was great - worked throughout the flight. Turbulence was very bad 30 minutes out of LAX due to El-Nino winds. Pilot kept us informed and did a good job. Landed smoothly and was a good flight. AA gets really bad reviews here - I fly them 150,000 miles a year and yes - I've had some bad flights. But overall they do a good job. I think a lot of people just expect to be treated like a king when they pay $300 for a trip. Keep up the good work AA."
2574,"New York to Las Vegas with American Airlines, and terrible customer service. Extremely rude staff at the check-in counter. No in-flight entertainment on a 6+ hour flight. No complimentary beer/wine, snacks or meals on the flight. I flew LAX to JFK, JFK to Las Vegas, Las Vegas to Phoenix and Phoenix to Honolulu all within a 2 week period and all but one of the flights were delayed. Very little information passed on to the customers."
2575,Philadelphia to Austin via Dallas. We were originally booked on American Airlines flight for Sunday (day of the big storm). Flight cancelled and rebooked via Indianapolis the following day (Monday). We were also cancelled from this flight though I did receive notification that all the connection flights flew on this day - so the plane not cancelled we were bumped. Then scheduled for Tuesday via Dallas except we were on a first class tickets x 3 and sitting in the rear of the plane on Row 36. No contact or email of the airline event though they had this because I spoke to their operator and gave it all to them. First class was fine from Dallas to Austin but American Airlines have lost a client for lack of service.
2576,"Orange County to London via Dallas Ft Worth with American Airlines, and very good service.  Pretty nice aircraft, good food, and friendly staff. Entertainment on board was very cool, screens were new and working. For the ground service, I have never met such unfriendly people. "
2577,"Flew from St Louis to Dallas / Fort Worth to get a connecting flight to Colorado Springs. Unfortunately the weather was bad and my connecting flight was cancelled. What irritated me was the American Airlines employees had no procedure and were not helpful at all. After talking to 3 different employees I finally found one that had a flight to Arkansas the next morning to get a connecting flight from Delta to Denver, CO. After arriving in Arkansas, I went up to Delta to get my boarding pass and they had no record of me! The American Airlines employee failed to send my info or even inform me that I didn't actually have a seat for the connecting flight, but rather sent me there to just get me out of Fort Worth. I was literally stranded there -  there was 11 other people in the same situation. I had to rent a car and drive from Arkansas to Colorado. Luckily I split the cost with 5 other people who also drove with me. What did I get from aa after filing a complaint? $130 from $630 that I spent on the tickets. Moral of the story - never fly with American Airlines."
2578,"Flew in to Dallas from New Delhi, India on Emirates in economy class where everyone on the ground and in the air were helpful and friendly. Arrived at Dallas Fort Worth and went to the American Airlines Counter to get our boarding passes to Des Moines, Iowa. Staff at the American Airlines Counter were rude and impatient. I had asked about the terminal where we were supposed to go and she snapped, ""C! It says C right there!"" I had to remind her that I was not familiar with DFW airport. Then, we get on the plane. No greeting from the stewardesses. One stewardess started barking orders at my husband on how to put the carry-on in the overhead bin. No helpful advice. She just stood there with her hands on her hips barking at him. "
2579,"Flew American Airlines from Dallas to London Heathrow with a Boeing 777 (a ten-abreast seating). Very cramped class, the seat very uncomfortable with almost no recline. The IFE was limited, The crew wasn't attentive and rather boring. The served food did not taste nice. Not recommended."
2580,American Airlines flight to Chicago cancelled. Flown to Houston for connecting flight. Connecting flight cancelled. Eventually connected via different airline to Chicago. Total time 27 hours. Complained to American who don't care in their responses. My wife required a special dietary meal which of course was unavailable on all replacement flights.
2581,"This was the worst travel experience I have had. I had arrived at Philadelphia Airport to board a flight from Philadelphia to Allentown to find out my flight had been delayed 2.5 hours. After waiting 2.5 hours they then decided to inform me that my flight had been cancelled due to ""mechanical error"". I then proceeded to wait another 1 hour to simply have my checked bag returned to me in baggage claim. American Airlines is the most unprofessional and discourteous airline I have encountered. Do not fly American Airlines."
2582,"I broke my leg shortly after booking a flight with American Airlines from Montreal to Manchester via Philadelphia so called Reservations to request upgraded seats. They made me pay $52 for seats on both connecting flights, but ultimately I only received an 'upgrade' on the first flight. Even then, there was no actual legroom, they just stuck me on the front row where I could be knocked by the flight attendants for the entire flight. On the second flight I was completely ignored and not given what I paid for."
2583,"Chicago to Atlanta with a 7 seven-hour delay, including 2.5 hours sitting on the plane, for a few inches of snow and some icy rain. While we sat on the plane, they kept announcing that equipment was malfunctioning and delaying us. Yes, weather can happen, but there was no attention to customer satisfaction after that - not even a little extra like free food. We lost $72 needing to get a hotel room near Atlanta that night, losing the money for the pre-booked hotel in Savannah we couldn't get to. I wrote American hoping for some level of refund, but they just answered ""we can't control the weather."" American is ranked 9th out of 10 airlines, and I see why now. Don't use it!"
2584,"Chicago to London Heathrow with American Airlines, and it was graceless from start to finish. No wait at check-in and through security in about 25 minutes. On a business class ticket you can access the Admirals Club lounge, which comes with a coupon for one free drink (including bottled water)!. Even then there's an expectation that you'll have to tip the barman who provides it. Otherwise, it's a few cheese crackers, cheese cubes and assorted nuts. There's a water fountain in the lounge, if you're really thirsty. Boarding was quick and stress free, and the refurbished Boeing 767-300 business class cabin offers a lof of personal space. There was a very long and unexplained wait after boarding until the doors were closed, and a further wait until pushback. You'd think that the flight attendants would be thinking ahead to how they'd be able to get on with service quicker on a night flight, such as taking dinner and drinks orders, but no, all standing around in the galley chatting. After take-off the flight attendants got out of their seats after 30 minutes. The next step was to manually log out 30 entertainment tablets and noise-cancelling earphones, so that was another 30 minutes gone. It was 90 minutes from take-off before the first drink hit the table. Dinner orders were then taken, and the meal service got under way. The cabin was kept at full illumination, with no attempt to create any form of night-time ambience. The starter was a mushroom carpaccio, which was very tasty, followed by what you'd think would a safe option 'steak in demi-glaze of blue-cheese'. The demi-glaze looked like oatmeal, and the steak was bloody in the middle, so after a few cuts, the blood started running everywhere, and it quickly became a pink, inedible mess. The dessert was ice-cream, which took a full 15 minutes before you could even crack off a chip with a spoon. The flight attendants were regularly doing the rounds throughout the flight, and nobody wanted for a drink. I passed on on the breakfast option of a quiche lorraine and spicy sausage, as this seemed like the perfect recipe for early-morning heartburn. The seat was extremely comfortable, but if you're looking for a business class product that delivers some style and atmosphere, this isn't it."
2585,"Los Angeles to Sydney, and awful American Airlines check in staff who were rude and unpleasant. I was moved seats and sat completely separately from my family, despite having an arm in a sling and a hand in plaster. When I was upset and crying, I was told to be quiet. The onboard service was unfriendly, the flight attendant kept banging into me and the food was awful. Certainly not service with a smile. I will never fly with American Airlines again."
2586,"Good luck getting anything from American Airlines customer service. We had a connecting flight cancelled (radio failure) in Miami on New Years Eve, stranding us for two days and then we were finally rerouted through Boston (from Miami!) to get to San Diego when our first make up flight was delayed. Inconvenient, but not horrible until we tried to get reimbursed for hotel (Miami on NYE), basic clothing, and food needs (family of 5). You have to put your request in online and guess what? They won't respond for 6-8 weeks. Tried calling and they only have canned response to wait for the online response. You are stuck and there is nothing you can do about it. Pretty amazing that such a large company can get away with no accountability. Looking back I would have made that entire line of 200 unhappy customers wait until I got some better answers than save receipts and you will be reimbursed."
2587,"We have flown US airways for years prior to their takeover by American Airlines. US Airways customer service was professional and accommodating to the customer. We purchased tickets for a trip from Fayetteville to Montego Bay in April 2016 months ago. American airlines canceled two of our initial connecting flights we had booked, no problem we understand its business on their part. But when they rescheduled our flights for us the new flight times did not allow time between flights for customs, rechecking bags as we re-entered the country and changing terminals. When we called to get assistance changing these new flights (that AA had changed) their representatives were anything but accommodating! Rude as I explained that we could not make connecting flights as they had rescheduled, the supervisor told me I could say the sky was blue but it didn't change that they couldn't refund me for flights I wanted to cancel - and remember they are the ones who changed my flight scheduling flights without enough time to make connections. She just kept telling me no refund because it was me wanting a schedule change. When I asked her to help me cancel these flights altogether and start a new flight schedule she said no, that I needed to go online and do it myself, because our call had already taken 60 minutes. I reminded her we were American Airlines card members and that help booking by phone was one of our privileges - still no help."
2588,"Las Vegas to Sydney via Los Angeles, and American Airlines are by far the worst airline I have travelled. Not only did they delay our flight by 2 hours resulting in a plane full of people missing their connect from LAX to Australia, but they were completely unhelpful with the reorganisation of all of the missed flights. We waited from 10:30pm - 3:00am to have our flight rescheduled (which left over 24 hours after our original flight) and have accommodation organised. We arrived at our accommodation to find that American Airlines credit card declined 4 times. We were then asked if we would go to a new hotel at 2:30am which required us to use a shuttle that left every 20 min to go back to the airport and then go on a 2nd 20min shuttle to go to the new hotel. It is currently 3:30am and they are yet to provide a credit card that has been accepted for a $115 payment. They also provided a $7 food voucher. All of that aside, we were treated so poorly by each of the American air staff we encounted and I really couldn't speak more poorly of any airline travel situation. Bitterly disappointed."
2589,"After boarding our American Airlines 5am flight from Chicago to Dallas, we were informed that the water system was not working and maintenance was being called to look into it as there would be no water for coffee or toilets. After 40 minutes, advised that maintenance needed to isolate etc etc. After almost an hour of sitting on the plane, we were finally asked to get off plane and go to another gate to board another flight. The guy making announcements was whispering so we all weren't quite sure which gate. When asking the lady at the gate for clarification she was barking at everyone and acting like we were bothering her. Waking up at 2:30am for a 5am flight with an eta of 7:30am is doable if it goes according to plan - this was painful.  Needless to say, I was not quite sure I was in capable hands after 2 hours of them fumbling around. We got to Dallas 2hrs later! Thankfully we did not have a connecting flight after. And after all that, there was no coffee offered on the flight! All in all, working for American Airlines would be an embarrassing experience and flying them a big gamble."
2590,"We booked a flight from Barbados to London Gatwick in First Class with American Airlines, which through its codesharing put us on a British Airways flight. This British Airways flight was delayed by 7.5 hours and we were downgraded from First Class to Business class because the replacement aircraft did not have a First Class Cabin. American Airlines offered us 7,500 reward miles as compensation which I found to be unacceptable, and after writing to them, they replied essentially stating that they valued us as customers, reviewed our case and felt the compensation was adequate. EU regulation 261 states that any flight delay greater than 5 hours warrants compensation of Euro600 per customer (it was operated by British Airways but they insisted that any compensation issue had to be done with AA with whom we originally booked). American Airlines refused to acknowledge this requirement."
2591,"Enjoyable flight from San Francisco to Miami with American Airlines. It departed and arrived on time though nearly an hour to wait for a bay at Miami, apparently due to weather. The inflight service is very basic though - basically just a drinks service. I did overhear the male flight attendant telling the passenger behind us that the sandwiches for sale weren't flash. For a 5 hour flight on a full service airline, one would think they could include snacks."
2592,"My husband and I were on a 10 hour American Airlines flight from Chicago to Rome for our honeymoon this past fall. I became severely dehydrated and became ill. The entire crew aboard were so sweet and helped me feel better about the incident, especially two staff who went above and beyond. One of them even gave me a change of clothes since mine were ruined and I didn't have a spare in my carry on. Kudos to both these attendants and the entire flight crew on this flight. "
2593,"American Airlines from London Heathrow to Chicago was one of the best business flights I've had for a long time.  Check-in and bag-drop took seconds and the lounge was quiet and fairly empty first thing in the day. I chose this flight as it was the newly-configured business cabin on the Boeing 767-300. Overall impression very good, seemed spacious and every seat is an aisle seat, which is a huge plus. I had a window seat, and it actually was a window seat - rather other airlines where you sit at an angle and have to twist to look out. The seat had a large fixed table area between the seat and the aisle, so there was no possibility of being knocked by someone on their way past. Like all new products there were a few design issues. You have to be more or less upright before you can release and then raise the table, but you get the hang of it eventually. The seat controls are very sensitive and you can often accidentally move your seat if you arm is laying where it normally would. The meal service was good, pre-ordered main course was there, and it seemed a very honest product. A very cheap appetiser, just humous, olives and pitta bread but then a delicious fish main course, with a choice of dessert and cheese. You had to wait for the entertainment system to be distributed after take-off, in the form of content loaded tablets and noise-reducing headphones. The 767's were always noisy old crates, but if you take along your own headphones and entertainment, there's no need to wait for theirs (although there is a huge choice of material). The seat was one of the most comfortable I've sat in for ages, it moved around easily, and in combination with a built in footstool, it wans't long before I had found the perfect position and was so comfortable I didn't want to get up. I'm tall, and couldn't reach the back of the footwell however hard I tried, so it felt like there was real space to stretch out. The afternoon snack was again straightforward, a charcuterie plate of meats, cheeses and breads plus cookies. Looked after well by the flight attendants throughout the flight. I'll be booking this airline and aircraft again."
2594,"London to Cancun via Miami with American Airlines, ands the flight in general was okay. Meals alright. Seat in business class was pretty comfy. Staff a little scary, but relatively polite. We have had a major problem with our luggage however. When we arrived in Cancun, one of our 2 suitcase didn't arrive. The AA computer reports that it is in Miami and it will follow the next morning on the 9am flight, so we happily head to our hotel. We've never seen the bag since and it's now 3 weeks later. If we check on the computer, it says the bag has not been located and to check back later. If we call, we are told the same thing. I feel like no-one is looking for my bag and it's just a case of 'computer says no'. All they tell us is to fill out their outdated paper based property form and send off a claim with receipts for all items over a certain value (which we don't have for everything in the case). I feel like no-one cares that my bag with some prized possessions has gone missing and they will just pay out - I'm expecting less than the full amount the case is worth, due to not being able to provide receipts for things that were a gift / more than a couple of years old. This would definitely put me off travelling with them again."
2595,"Horrible flight from Vancouver to Boston via Dallas. Worst ever. When I got our boarding passes in Vancouver, the seats I paid $75 extra each for in row 8 were not the ones I was given, even though I had the confirmation. When I asked the girl at the American Airlines desk she couldn't help me and said to ask in Dallas. I called customer service, they still had me listed in row 8, not in row 17 and 16 (my son and I weren't even together now), then my wallet app ticket updated so I called customer service again - they still had us in row 8. In Dallas we were stuck with rows 17 and 16, not the seats I paid for, and then found out how difficult it is to get a refund for something that is clearly their fault. We got to Boston at 12:37am and our 4 bags, two suitcases and two ski bags didn't make it. The woman at the counter was rude. I reviewed a call in the morning saying my two ski bags made it and would be delivered by 2pm (I should mention my son was going back to college the next day) but they didn't know where my other two bags were and I was told to call back in a bit. I call back and my two bags were still in Texas and they ""hoped"" they would be here on the 3 pm flight. I called the 800 number quite a few times trying to get a straight answer and was told different things each time. Finally around 5pm I was told my other two bags had made it to Boston. I called to see where my ski bags were as it was past 2 and no bags yet. I was told they didn't make it to Boston until 2 so how could they be promised to be here by then I was told. Finally the driver called and said he'd have my ski bags here by 11pm! I never heard about the delivery of my other two bags so I called once again, got told they would ""rush"" the delivery as 4 hours later they were still at the airport - finally I got an email saying the delivery has started. The ski bags arrived close to 11 and the other two bags about 10 min later. What a hellish experience. We had to waste my sons last day home for winter break waiting for suitcases that didn't come when we were told, and I made hours of phone calls and was given a run around. I am confident had I not called and kept after my bags, they'd still be out there. Horrible customer service and they lie. I will do my best to never fly this airline again."
2596,"San Francisco to Chicago O'Hare, and a well-run flight from American Airlines. Despite having a low-cost economy ticket, I was given Priority Access for free, which meant I had plenty of time to board the plane, put away my bags and get settled. Cabin service was polite. American Airlines is in my opinion, the most reliable of the three major US carriers."
2597,"Dallas to Quito with American Airlines. It was clean and new cabin, with comfortable seats. The meal was bad - just a  sandwich. It is an international flight and just a sandwich is served. Be ready and take some food with you. Only 1 glass of water was offered, and this is not fair on an international flight, we have to buy food at the airport. They should improve by including some food. I believe that Delta and LAN Ecuador have better choices."
2598,"The temperature of the aircraft on or flight from Dallas Fort Worth to Fargo was so hot it melted the chocolate candy bars my husband and I had. He was sitting toward the front and I was over the wing area. We did not mention it to the flight attendant because she was so rude to begin with. I spoke with a number of other passengers and they all felt it was extremely hot. We were nauseous by the time our 2.75 hr flight was over. The temperature wasn't the part that upset me as much as the flight attendant's attitude. One of the other passengers asked for more ice and the flight attendant said ""I will in just a bit, like I told the other guy, I only have two hands"". Unnecessary rudeness."
2599,"My review is about the customer service rather than the flight itself. I recently booked an American Airlines flight from Austin to Oakland but found other more time-friendly flights. After cancelling the flight, I inquired about a refund. The representative told me the charge was $200 for rebooking - more than the original ticket cost. Obviously I was angry. After speaking with a manager at their Phoenix Reservation Service Center, my fee was waived. It was not of course without expressing my displeasure with the airline's policy. I decided to rebook the flight for the sake of convenience and cost - why use another airline if I could not receive a refund? Passengers would do well to be wary of nonrefundable tickets and hidden fees."
2600,"Flew LAX to Sydney on the relatively new American Airlines service and I was very impressed. I love the business class seats on their Boeing 777 - same as Cathay Pacific, very private and comfortable. I am 6ft 4 and was very comfortable when the bed was flat. The meals were great and the crew were very obliging. I wouldn't hesitate to fly with them again over the Pacific and would choose them before the Qantas skybed any day."
2601,"The American Airlines flight from Detroit to San Antonio was not overly noteworthy. They handled the flight as expected with friendly staff, nice aircrafts, and pleasant flight times. However on the return trip, my girlfriend and myself were not impressed in the least. We arrived two hours early for our flight as expected and proceeded to wait for our plane. We weren't informed at any time that our aircraft was behind schedule, however it landed roughly twenty minutes past the time we were supposed to board. After the plane arrived we were informed that no carryon ""larger than a briefcase"" do all passangers needed to valet check their bags. This created an interesting issue when boarding as a pile of carryons began to block the path onto the plane. After boarding a plane that seemed to have been built in the seventies, we were informed that we were not going to be able to leave for 40 minutes due to weather in our connector in chicago; something that is to be expected this time of year. What wasn't expected was the condescending attitude of the entire staff. A fellow passanger stated that they needed to check the landing time, because he was going to a military funeral he would rather not miss. The flight attendant stated that they couldn't control the weather and walked away. After a hellish two and a half hour flight in an old, loud, cramped plane we arrived in Chicago for our layover. We than had to wait twenty minutes in the jetway while they unloaded each individual bag into the mass of passangers; noteworthy at this time is that Chicago was sitting at 6 degrees. We rush through the terminal to our connector flight and make it right as the plane is boarding. I give the employer at the gate my ticket and begin to walk to the airplane. He cleared his throat and stated my bags, that I had taken all of the way to Texas as a carryon, were to large for the flight. I inform him they are the same ones we went down to Texas with, but apparently that is not enough. Because he stated that I must place them into a size verifier to show that they are in fact acceptable. I preceeded to place them into the bracket, which showed them to clearly be the correct size. His response was to turn around and simply walk away, leaving me to puzzle over the correct next step. Overall, I felt belittled, and outright disrepected. I will not be taking another American Airlines flight due to this dreadful experience, even if it means higher costs or less ideal landing times."
2602,"We arrived at the airport at 10am and missed our 5pm American Airlines Miami to Houston flight due to gate changes. The staff was unbelievably accommodating. They heard our story and really worked with us to find a solution. We were put on a 11:30pm flight. The flight attendants were so kind to us, and they turned a nightmare into an absolutely great experience. I would recommend this airline, strictly based on the staff that we encountered on our trip."
2603,"I will pay a premium to fly with other airlines in the future. Our American Airlines departure from Miami was so stressful after a much needed vacation to decompress. We arrived 2-1/2 hours early and went to the AA terminal to check in. There were lines at every kiosk and hundreds of people waiting on line throughout. We got on line and waited 40 minutes at a kiosk (several were out of service it seems). Everyone who got a turn at bat eventually arrived a problem which required a customer service person to come over and help them. The help mainly consisted of sending them to the baggage check/kiosk service lines. Our turn was no different. As our baggage tags began to print, the machine had a glitch, indicating that it was probably out of tag stickers. We flagged down a customer rep who - you guessed it - sent us to the baggage check/kiosk service line where we waited another hour plus. Everyone we watched was having to remove stuff from their bags and this was very time consuming. When we got to the front of the line, they weighed our bag (which was the identical bag we had flown in with - nothing added!) and told us it was 2 lbs over and we could remove items or pay a $100 upcharge for the overweight bag. Since by now our flight was boarding and we still had not gone through security, we felt compelled to pay the charge. As we were boarding, our daughter with a smaller bag carry on was forced to check it anyway, as most of the other passengers were also being forced to check. (Why did we bother to stand in line for 2 hours if the flight attendants were tagging bags at boarding?) A woman on our flight told us how they were forced to layover in Miami overnight after waiting in the airport all day. They were not comped for their room. Several people on that flight missed connections for their vacations, and one couple missed their cruise. Does American know or care that people save all year to enjoy a vacation and then have to put up with this kind of crap?? We will fly any airline but AA going forward."
